City,State Abbreviation,total_listings
Buda,TX,42
Budd Lake,NJ,1
Buellton,CA,9
Buena Park,CA,21
Buena Vista,CO,16
Buena Vista,PA,2
Buena Vista,VA,2
Buffalo,MN,2
Buffalo,WY,11
Buffalo Gap,TX,2
Buffalo Grove,IL,1
Buffalo Junction,VA,4
Buford,GA,67
Buhl,AL,1
Buhl,ID,5
Bull Shoals,AR,2
Bullard,TX,5
Bullhead City,AZ,115
Bulverde,TX,14
Bumpass,VA,2
Bunker Hill,WV,2
Bunnell,FL,6
Bunnlevel,NC,1
Burbank,CA,85
Burbank,IL,2
Burbank,OH,1
Burbank,SD,1
Burbank,WA,1
Burdett,NY,5
Burgaw,NC,2
Burien,WA,100
Burkburnett,TX,2
Burke,VA,12
Burkeville,VA,7
Burleson,TX,13
Burley,ID,7
Burlingame,CA,27
Burlington,CO,5
Burlington,CT,2
Burlington,IA,12
Burlington,KS,1
Burlington,KY,10
Burlington,MA,15
Burlington,NC,26
Burlington,NJ,10
Burlington,VT,192
Burlington,WA,14
Burlington,WI,3
Burlington Flats,NY,1
Burnet,TX,4
Burnettsville,IN,1
Burney,CA,3
Burnham,ME,2
Burns,OR,1
Burns,TN,4
Burnside,KY,11
Burnsville,MN,17
Burnsville,NC,6
Burnt Hills,NY,5
Burr Hill,VA,1
Burr Ridge,IL,1
Burton,MI,1
Burtonsville,MD,9
Bushkill,PA,5
Bushnell,FL,1
Bushnell,IL,1
Butler,NJ,2
Butler,OH,3
Butler,PA,4
Butler,TN,3
Butte,MT,104
Butte Valley,CA,1
Buxton,ME,9
Buxton,OR,1
Buzzards Bay,MA,16
Byesville,OH,2
Byfield,MA,1
Byhalia,MS,1
Byram,MS,1
Byrdstown,TN,1
Byrnedale,PA,4
Byron,GA,6
Byron,MN,3
Byron Center,MI,7
CAMP SPRINGS,MD,3
Cabot,PA,1
Cabot,VT,1
Cache,OK,1
Caddo,OK,2
Caddo Mills,TX,2
Cadillac,MI,7
Cadiz,KY,2
Cadiz,OH,1
Cadott,WI,1
Cadyville,NY,1
Cahokia,IL,2
Cairnbrook,PA,1
Cairo,GA,1
Cairo,NY,1
Calabasas,CA,10
Calabash,NC,18
Calais,ME,5
Calais,VT,5
Caldwell,ID,43
Caldwell,NJ,3
Caldwell,WV,1
Caledonia,MI,2
Caledonia,MN,1
Caledonia,MS,1
Caledonia,NY,2
Caledonia,WI,1
Calera,AL,1
Calera,OK,1
Calexico,CA,5
Calhan,CO,2
Calhoun,GA,4
Calhoun,LA,1
California,MD,6
California City,CA,7
California Hot Springs,CA,1
Calimesa,CA,7
Calistoga,CA,19
Callahan,CA,1
Callahan,FL,3
Callaway,FL,2
Calpine,CA,2
Calumet,MI,4
Calumet City,IL,6
Calverton,NY,2
Calvin,WV,1
Camano Island,WA,23
Camarillo,CA,93
Camas,WA,26
Cambria,CA,10
Cambria,IL,3
Cambria Heights,NY,15
Cambridge,MD,27
Cambridge,ME,1
Cambridge,MN,2
Cambridge,NY,3
Cambridge,OH,2
Cambridge,VT,5
Cambridge,WI,3
Cambridge Springs,PA,2
Camby,IN,4
Camden,AR,1
Camden,ME,36
Camden,MI,2
Camden,NJ,10
Camden,NY,1
Camden,SC,8
Camden,TN,1
Camden Wyoming,DE,10
Camdenton,MO,11
Cameron,NC,3
Cameron,WI,1
Cameron Park,CA,12
Camillus,NY,7
Camino,CA,7
Camp Douglas,WI,5
Camp H M Smith,HI,1
Camp Hill,PA,28
Camp Meeker,CA,5
Camp Verde,AZ,19
Campbell,CA,45
Campbell,NY,1
Campbellsport,WI,2
Campbellsville,KY,2
Campbelltown,PA,2
Campobello,SC,6
Campton,NH,13
Cana,VA,2
Canaan,NH,11
Canaan,NY,2
Canaan,VT,3
Canadensis,PA,1
Canal Fulton,OH,1
Canal Winchester,OH,4
Canandaigua,NY,33
Canastota,NY,4
Canby,OR,10
Candia,NH,1
Candler,NC,65
Caney,OK,2
Canfield,OH,3
Canisteo,NY,1
Canistota,SD,1
Cannon Beach,OR,9
Cannon Falls,MN,1
Canoga Park,CA,26
Canon,GA,1
Canon City,CO,29
Canonsburg,PA,5
Canterbury,NH,5
Canton,GA,41
Canton,MA,11
Canton,ME,4
Canton,MI,8
Canton,MO,1
Canton,MS,3
Canton,NC,28
Canton,NY,7
Canton,OH,35
Canton,PA,1
Canton,SD,1
Canton,TX,1
Cantonment,FL,9
Canutillo,TX,1
Canyon,TX,7
Canyon Country,CA,23
Canyon Lake,CA,26
Canyon Lake,TX,49
Cape Canaveral,FL,65
Cape Carteret,NC,3
Cape Charles,VA,10
Cape Cod,MA,4
Cape Cod and Islands,MA,3
Cape Coral,FL,500
Cape Elizabeth,ME,23
Cape Fair,MO,1
Cape Girardeau,MO,74
Cape May,NJ,10
Cape May Court House,NJ,10
Cape May Point,NJ,1
Cape Neddick,ME,11
Cape Porpoise,ME,1
Capistrano Beach,CA,6
Capitol Heights,MD,19
Capitola,CA,43
Captain Cook,HI,50
Carbonado,WA,1
Carbondale,CO,30
Carbondale,IL,24
Carbondale,PA,2
Cardiff,CA,4
Cardiff By The Sea,CA,21
Cardwell,MT,1
Carefree,AZ,5
Carencro,LA,8
Caribou,ME,19
Carl Junction,MO,1
Carle Place,NY,2
Carlisle,IA,1
Carlisle,PA,11
Carlisle,SC,2
Carlsbad,CA,211
Carlsbad,NM,12
Carlstadt,NJ,2
Carlton,MN,1
Carlton,OR,9
Carmel,CA,27
Carmel,IN,42
Carmel,NY,3
Carmel By The Sea,CA,28
Carmel Valley,CA,24
Carmichael,CA,53
Carmichaels,PA,1
Carnation,WA,4
Carnegie,PA,6
Carnelian Bay,CA,6
Carney,MI,1
Caro,MI,1
Caroga Lake,NY,1
Carolina Beach,NC,161
Carp Lake,MI,2
Carpentersville,IL,2
Carpinteria,CA,24
Carrabelle,FL,7
Carrboro,NC,18
Carroll,IA,1
Carroll,OH,1
Carrollton,GA,28
Carrollton,OH,1
Carrollton,TX,51
Carrollton,VA,4
Carson,CA,71
Carson,WA,1
Carson City,NV,67
Carteret,NJ,2
Cartersville,GA,44
Cartersville,VA,1
Carterville,IL,12
Carthage,MO,2
Carthage,NC,7
Carthage,NY,2
Carthage,TN,2
Carver,MA,6
Carver,MN,1
Cary,IL,4
Cary,NC,92
Caryville,TN,2
Casa Grande,AZ,91
Cascade,CO,3
Cascade,ID,3
Cascade,MT,1
Cascade Locks,OR,5
Casco,ME,5
Caseville,MI,3
Casey,IL,2
Caseyville,IL,2
Cashiers,NC,1
Cashmere,WA,19
Caspar,CA,1
Casper,WY,135
Caspian,MI,1
Cassadaga,NY,3
Cassel,CA,1
Casselberry,FL,18
Cassopolis,MI,4
Castaic,CA,9
Castalian Springs,TN,1
Castile,NY,1
Castine,ME,1
Castle Creek,NY,1
Castle Hayne,NC,8
Castle Pines,CO,10
Castle Rock,CO,100
Castle Rock,WA,2
Castleton,VT,3
Castleton On Hudson,NY,1
Castlewood,SD,2
Castro Valley,CA,95
Castroville,CA,5
Castroville,TX,1
Catasauqua,PA,1
Cataumet,MA,3
Catawba,NC,2
Catawissa,PA,5
Catharpin,VA,2
Catheys Valley,CA,1
Cathlamet,WA,1
Catlettsburg,KY,4
Catlin,IL,1
Catonsville,MD,11
Catoosa,OK,1
Catskill,NY,10
Cave City,AR,1
Cave City,KY,3
Cave Creek,AZ,58
Cave Spring,GA,4
Cave Spring,VA,3
Cave Springs,AR,2
Cavendish,VT,3
Cayce,SC,17
Cayucos,CA,23
Cayuga,NY,1
Cazadero,CA,2
Cazenovia,NY,3
Cecil,AR,1
Cecilia,KY,2
Cedar,MI,3
Cedar City,UT,15
Cedar Creek,NE,1
Cedar Creek,TX,4
Cedar Crest,NM,5
Cedar Falls,IA,24
Cedar Glen,CA,4
Cedar Grove,NJ,1
Cedar Hill,TN,2
Cedar Hill,TX,17
Cedar Lake,IN,3
Cedar Lake,MI,1
Cedar Park,TX,43
Cedar Point,NC,2
Cedar Rapids,IA,119
Cedar Springs,MI,1
Cedarburg,WI,4
Cedaredge,CO,6
Cedarpines Park,CA,3
Cedartown,GA,1
Cedarville,CA,2
Celebration,FL,2
Celeste,TX,1
Celina,OH,2
Celina,TX,17
Centennial,CO,82
Center Barnstead,NH,1
Center Conway,NH,3
Center Harbor,NH,2
Center Line,MI,3
Center Moriches,NY,6
Center Ossipee,NH,5
Center Point,TX,2
Center Rutland,VT,1
Center Tuftonboro,NH,2
Center Valley,PA,2
Centerburg,OH,1
Centereach,NY,4
Centerport,NY,3
Centerton,AR,3
Centerville,GA,2
Centerville,IA,1
Centerville,IN,1
Centerville,MA,39
Centerville,OH,8
Centerville,UT,8
Central,AZ,2
Central,SC,8
Central,UT,2
Central Bridge,NY,1
Central City,CO,1
Central City,IA,2
Central City,NE,1
Central City,SD,1
Central Falls,RI,4
Central Islip,NY,9
Central Lake,MI,2
Central Point,OR,46
Central Square,NY,5
Central Valley,NY,1
Centralia,IL,1
Centralia,WA,16
Centre,AL,1
Centre Hall,PA,1
Centreville,MD,4
Centreville,VA,23
Centuria,WI,2
Ceredo,WV,2
Ceres,CA,15
Cerrillos,NM,1
Cerritos,CA,21
Cerro Gordo,NC,1
Chadds Ford,PA,1
Chadron,NE,3
Chagrin Falls,OH,5
Chalfont,PA,2
Chalmette,LA,13
Chama,NM,1
Chamberlain,SD,3
Chambersburg,PA,39
Chamblee,GA,18
Champaign,IL,82
Championsgate,FL,16
Champlain,NY,1
Champlin,MN,1
Chandler,IN,1
Chandler,OK,1
Chandler,TX,2
Chanhassen,MN,4
Channahon,IL,1
Channelview,TX,1
Chantilly,VA,19
Chapel Hill,NC,164
Chapel Hill,TN,2
Chapin,SC,23
Chaplin,CT,1
Chaptico,MD,2
Chardon,OH,3
Charlemont,MA,2
Charles City,IA,1
Charles City,VA,1
Charles Town,WV,13
Charleston,AR,1
Charleston,IL,11
Charleston,NV,1
Charleston,OR,1
Charleston,SC,739
Charleston,TN,1
Charleston,WV,137
Charlestown,IN,1
Charlestown,MA,7
Charlestown,NH,6
Charlestown,RI,13
Charlevoix,MI,6
Charlo,MT,1
Charlotte,MI,2
Charlotte,TN,1
Charlotte,VT,8
Charlotte Hall,MD,1
Charlottesville,VA,557
Charlton,MA,5
Charlton City,MA,1
Chase City,VA,3
Chaska,MN,6
Chatham,IL,5
Chatham,MA,18
Chatham,NJ,3
Chatham,NY,3
Chatham,VA,2
Chatsworth,CA,26
Chatsworth,GA,1
Chattahoochee,FL,2
Chattanooga,TN,324
Chaumont,NY,1
Chazy,NY,4
Chebanse,IL,1
Cheboygan,MI,2
Check,VA,2
Checotah,OK,1
Cheektowaga,NY,12
Chehalis,WA,15
Chelan,WA,13
Chelmsford,MA,5
Chelsea,AL,1
Chelsea,MA,46
Chelsea,ME,1
Chelsea,MI,8
Chelsea,VT,3
Cheltenham,MD,4
Cheltenham,PA,5
Cheney,WA,9
Cheraw,SC,4
Cherokee,IA,1
Cherokee,NC,3
Cherry Hill,NJ,16
Cherry Log,GA,2
Cherry Valley,CA,4
Cherry Valley,IL,1
Cherry Valley,NY,4
Cherryfield,ME,1
Cherryville,NC,1
Chesapeake,OH,1
Chesapeake,VA,119
Chesapeake Beach,MD,5
Chesapeake City,MD,2
Cheshire,CT,9
Cheshire,MA,1
Cheshire,OR,1
Chesnee,SC,3
Chester,CA,8
Chester,IL,2
Chester,MD,6
Chester,NH,1
Chester,NJ,3
Chester,NY,1
Chester,PA,2
Chester,SC,5
Chester,VA,22
Chester,VT,17
Chester Springs,PA,1
Chesterfield,MA,1
Chesterfield,MI,5
Chesterfield,MO,13
Chesterfield,NH,2
Chesterfield,SC,3
Chesterfield,VA,52
Chesterland,OH,1
Chesterton,IN,16
Chestertown,MD,2
Chestertown,NY,1
Chesterville,ME,3
Chestnut Hill,MA,6
Chetek,WI,1
Cheverly,MD,4
Chevy Chase,MD,12
Chewelah,WA,7
Cheyenne,WY,130
Chicago Heights,IL,3
Chicago Ridge,IL,3
Chichester,NH,2
Chickamauga,GA,3
Chickasha,OK,3
Chico,CA,191
Chicopee,MA,18
Chilhowie,VA,2
Chillicothe,IL,1
Chillicothe,MO,1
Chillicothe,OH,9
Chilmark,MA,1
Chiloquin,OR,3
Chilton,WI,1
China,ME,2
China Grove,NC,4
China Spring,TX,2
Chincoteague Island,VA,3
Chinese Camp,CA,1
Chinle,AZ,1
Chino,CA,31
Chino Valley,AZ,8
Chinook,WA,1
Chipley,FL,1
Chippewa Falls,WI,12
Chippewa Lake,OH,2
Chisago City,MN,2
Chisholm,MN,3
Chittenango,NY,4
Chittenden,VT,5
Chocowinity,NC,2
Choctaw,OK,4
Chowchilla,CA,5
Christiana,DE,3
Christiana,PA,1
Christiana,TN,4
Christiansburg,VA,27
Christmas,FL,2
Christopher,IL,1
Chualar,CA,1
Chubbuck,ID,6
Chugiak,AK,14
Chula Vista,CA,184
Church Hill,TN,2
Church Point,LA,3
Churchton,MD,2
Churchville,NY,1
Churchville,VA,1
Cibolo,TX,16
Cicero,IL,4
Cicero,IN,5
Cicero,NY,4
Circleville,OH,4
Citra,FL,4
Citrus Heights,CA,63
Citrus Springs,FL,7
Clackamas,OR,17
Clam Gulch,AK,2
Clancy,MT,9
Clanton,AL,1
Clare,MI,1
Claremont,CA,28
Claremont,NC,1
Claremont,NH,33
Claremore,OK,5
Clarence,NY,3
Clarinda,IA,1
Clarion,PA,3
Clark,NJ,1
Clark Mills,NY,2
Clarkdale,AZ,28
Clarkdale,GA,1
Clarkesville,GA,4
Clarklake,MI,4
Clarks Hill,SC,1
Clarks Summit,PA,2
Clarksburg,CA,1
Clarksburg,MD,8
Clarksburg,WV,12
Clarksdale,MS,1
Clarkson,KY,2
Clarkston,GA,12
Clarkston,MI,5
Clarkston,WA,28
Clarksville,IN,17
Clarksville,MD,3
Clarksville,OH,1
Clarksville,VA,3
Clawson,MI,4
Claxton,GA,1
Clay,NY,4
Clay City,KY,1
Clay Township,MI,2
Claymont,DE,4
Claysburg,PA,8
Clayton,CA,11
Clayton,DE,4
Clayton,GA,7
Clayton,MO,3
Clayton,NC,24
Clayton,NJ,1
Clayton,NM,1
Clayton,NY,3
Clayton,OH,2
Clayton,OK,1
Clayville,NY,2
Cle Elum,WA,7
Clear Brook,VA,1
Clear Lake,IA,28
Clear Lake,MN,1
Clear Spring,MD,1
Clearfield,PA,2
Clearfield,UT,17
Clearlake,CA,19
Clearlake Oaks,CA,6
Clearwater,FL,279
Clearwater,MN,1
Clearwater,SC,1
Clearwater Beach,FL,45
Cleburne,TX,4
Clementon,NJ,6
Clemmons,NC,17
Clemson,SC,8
Clendenin,WV,1
Clermont,FL,88
Clermont,GA,2
Cleveland,GA,6
Cleveland,MS,1
Cleveland,NY,1
Cleveland,SC,1
Cleveland,TN,25
Cleveland,TX,1
Cleveland Heights,OH,73
Clever,MO,2
Clewiston,FL,1
Clifford,PA,1
Cliffside Park,NJ,6
Cliffwood,NJ,3
Clifton,CO,10
Clifton,ME,5
Clifton,NJ,16
Clifton,OH,1
Clifton,TX,2
Clifton,VA,3
Clifton Forge,VA,4
Clifton Heights,PA,1
Clifton Park,NY,10
Clifton Springs,NY,4
Climax,GA,1
Climax,MI,1
Clinton,CT,17
Clinton,IA,2
Clinton,MA,1
Clinton,MD,28
Clinton,MO,1
Clinton,MS,5
Clinton,MT,3
Clinton,NC,1
Clinton,NJ,3
Clinton,NY,6
Clinton,TN,14
Clinton,WA,7
Clinton Township,MI,8
Clintondale,NY,1
Clintonville,WI,1
Clive,IA,5
Cloquet,MN,1
Closter,NJ,1
Cloud Lake,FL,1
Cloudcroft,NM,2
Clover,SC,8
Cloverdale,CA,12
Cloverdale,OR,1
Clovis,CA,231
Clovis,NM,7
Clute,TX,1
Clyde,NC,13
Clyde,TX,1
Clyde Park,MT,1
Coachella,CA,16
Coal City,IL,1
Coal Township,PA,1
Coaldale,PA,1
Coalinga,CA,2
Coalville,UT,1
Coarsegold,CA,7
Coatesville,IN,1
Coatesville,PA,4
Coats,NC,3
Cobb,CA,6
Cobb,GA,8
Cobb Island,MD,1
Cobbs Creek,VA,2
Cobbtown,GA,1
Cobden,IL,1
Cobleskill,NY,1
Coburn,PA,2
Cochecton,NY,1
Cochran,GA,1
Cochrane,WI,2
Cochranville,PA,2
Cockeysville,MD,7
Cocoa,FL,25
Cocoa Beach,FL,75
Cocolalla,ID,1
Coconut Creek,FL,17
Coden,AL,1
Cody,WY,37
Coeburn,VA,1
Coeur D Alene,ID,342
Cohasset,MA,2
Cohasset,MN,2
Cohoes,NY,6
Coinjock,NC,1
Colbert,GA,1
Colbert,OK,1
Colbert,WA,5
Colchester,CT,4
Colchester,IL,3
Colchester,VT,60
Cold Brook,NY,2
Cold Spring,MN,1
Cold Spring,NY,3
Cold Spring Harbor,NY,1
Coldspring,TX,3
Coldwater,MI,11
Coldwater,OH,1
Colebrook,NH,5
Coleman,TX,1
Colerain,OH,1
Colfax,CA,8
Colfax,IN,1
Colfax,LA,1
Colfax,NC,7
Colfax,WA,3
Colgate,WI,4
College Park,GA,54
College Park,MD,11
College Place,WA,21
College Point,NY,4
Collegedale,TN,4
Collegeville,PA,5
Colleyville,TX,8
Colliers,WV,2
Collierville,TN,5
Collingdale,PA,1
Collingswood,NJ,3
Collins,IA,1
Collins,NY,1
Collinston,LA,1
Collinsville,CT,3
Collinsville,IL,8
Collinsville,OK,2
Collinsville,VA,2
Colma,CA,3
Colmar,PA,1
Coloma,MI,9
Coloma,WI,2
Colonia,NJ,2
Colonial Beach,VA,17
Colonial Heights,VA,14
Colorado,CO,2
Colorado City,AZ,1
Colorado City,TX,1
Colorado Springs,CO,1070
Colquitt,GA,1
Colrain,MA,1
Colton,CA,34
Colton,NY,4
Colton,OR,1
Coltons Point,MD,2
Columbia,CA,7
Columbia,CT,4
Columbia,IL,1
Columbia,KY,2
Columbia,MD,42
Columbia,MO,208
Columbia,PA,7
Columbia,TN,54
Columbia City,IN,8
Columbia City,OR,1
Columbia Falls,ME,3
Columbia Falls,MT,76
Columbia Heights,MN,4
Columbia Station,OH,1
Columbiana,AL,3
Columbiana,OH,2
Columbus,GA,156
Columbus,IN,29
Columbus,MS,3
Columbus,MT,4
Columbus,NC,8
Columbus,NE,2
Columbus,NJ,1
Columbus,TX,2
Columbus,WI,5
Columbus Grove,OH,1
Colville,WA,9
Comer,GA,1
Comfort,TX,1
Commack,NY,1
Commerce,GA,1
Commerce,TX,1
Commerce City,CO,51
Commerce Township,MI,9
Commercial Point,OH,1
Como,CO,1
Como,MS,1
Como,TX,1
Compton,CA,28
Comstock,NY,1
Concho,AZ,1
Conconully,WA,1
Concord,CA,198
Concord,MA,5
Concord,NC,95
Concord,NH,58
Concordia,KS,1
Concordia,MO,1
Concrete,WA,3
Conestoga,PA,1
Conesus,NY,2
Congerville,IL,1
Conifer,CO,7
Conley,GA,11
Conneaut,OH,1
Conneaut Lake,PA,2
Connellsville,PA,1
Connelly,NY,1
Connellys Springs,NC,4
Conover,NC,3
Conover,WI,1
Conowingo,MD,1
Conrad,MT,1
Conroe,TX,95
Conshohocken,PA,7
Contoocook,NH,1
Converse,TX,40
Conway,AR,30
Conway,MA,2
Conway,NH,11
Conway,SC,41
Conway,WA,1
Conyers,GA,100
Cookeville,TN,41
Cooksburg,PA,1
Cookson,OK,1
Cool,CA,4
Coolidge,AZ,9
Coolidge,GA,4
Coon Rapids,MN,10
Coon Valley,WI,1
Cooper City,FL,5
Coopers Plains,NY,1
Coopersburg,PA,2
Cooperstown,ND,1
Cooperstown,NY,56
Coos Bay,OR,93
Copake,NY,1
Copake Falls,NY,1
Copalis Beach,WA,1
Copiague,NY,3
Coplay,PA,2
Coppell,TX,10
Copperas Cove,TX,7
Copperhill,TN,1
Copperopolis,CA,4
Coquille,OR,8
Coral Springs,FL,37
Coralville,IA,52
Coram,MT,5
Coram,NY,5
Coraopolis,PA,5
Corbett,OR,1
Corbin,KY,1
Corcoran,CA,1
Cordele,GA,3
Cordova,MD,2
Cordova,NC,1
Cordova,TN,29
Corinna,ME,2
Corinth,ME,4
Corinth,MS,3
Corinth,NY,2
Corinth,TX,7
Corinth,VT,3
Cornelius,NC,37
Cornelius,OR,9
Cornell,MI,1
Cornell,WI,2
Corning,AR,1
Corning,CA,1
Corning,IA,1
Corning,NY,21
Cornish,NH,6
Cornville,AZ,18
Cornwall,NY,2
Cornwall,VT,3
Corolla,NC,1
Corona,CA,90
Corona,NY,4
Corona Del Mar,CA,5
Coronado,CA,33
Corrales,NM,21
Corralitos,CA,3
Correctionville,IA,1
Corryton,TN,3
Corsicana,TX,3
Corte Madera,CA,20
Cortez,CO,26
Cortez,FL,2
Cortland,NY,7
Cortland,OH,1
Cortlandt Manor,NY,5
Corvallis,MT,2
Corvallis,OR,81
Corydon,IN,1
Cos Cob,CT,2
Cosby,TN,2
Coshocton,OH,1
Cosmopolis,WA,4
Costa Mesa,CA,98
Cotati,CA,27
Coto de Caza,CA,2
Cottage Grove,MN,7
Cottage Grove,OR,16
Cottondale,AL,2
Cottontown,TN,4
Cottonwood,AZ,71
Cottonwood,CA,10
Cottonwood Heights,UT,65
Cottonwood Shores,TX,1
Cotuit,MA,10
Coudersport,PA,2
Coulterville,IL,1
Counce,TN,2
Council Bluffs,IA,33
Country Club Hills,IL,3
Coupeville,WA,31
Courtland,MN,1
Coushatta,LA,1
Coventry,CT,6
Coventry,RI,7
Covesville,VA,1
Covina,CA,27
Covington,GA,73
Covington,KY,66
Covington,LA,31
Covington,WA,9
Cowan,TN,1
Cowarts,AL,1
Coweta,OK,3
Cowley,WY,1
Cozad,NE,1
Crab Orchard,KY,1
Crab Orchard,WV,1
Craftsbury,VT,1
Craig,CO,6
Craigsville,VA,1
Cramerton,NC,3
Cranberry Twp,PA,2
Cranbury,NJ,2
Crandall,GA,1
Crandall,TX,4
Crandon,WI,1
Crane Hill,AL,1
Cranston,RI,49
Crawford,CO,3
Crawford,TX,4
Crawfordsville,IN,6
Crawfordville,FL,7
Crawfordville,GA,1
Creal Springs,IL,1
Cream Ridge,NJ,2
Creedmoor,NC,5
Crescent,OK,1
Crescent City,CA,82
Crescent Mills,CA,2
Cresco,IA,1
Cresco,PA,4
Cressey,CA,1
Cresson,PA,1
Crested Butte,CO,4
Crestline,CA,28
Creston,OH,1
Crestone,CO,2
Crestview,FL,18
Crestwood,KY,8
Creswell,OR,5
Crete,IL,3
Crete,NE,2
Creve Coeur,IL,3
Creve Coeur,MO,7
Crewe,VA,3
Cripple Creek,CO,2
Crisfield,MD,1
Crockett,CA,13
Crofton,MD,8
Crofton,NE,1
Croghan,NY,1
Crompond,NY,1
Cromwell,CT,6
Cromwell,MN,1
Cropseyville,NY,1
Crosby,MN,17
Crosby,TX,3
Cross Hill,SC,4
Cross Junction,VA,2
Cross Lanes,WV,3
Cross Plains,TN,1
Cross Plains,WI,3
Crosslake,MN,1
Crossville,TN,19
Croton On Hudson,NY,4
Crowley,LA,4
Crowley,TX,10
Crowley Lake,CA,1
Crown Point,IN,9
Crown Point,NY,1
Crownsville,MD,3
Crows Landing,CA,2
Croydon,NH,4
Croydon,PA,1
Crozet,VA,26
Crumpler,NC,1
Crystal,MI,3
Crystal,MN,5
Crystal Bay,NV,1
Crystal Beach,FL,2
Crystal Beach,TX,4
Crystal City,MO,3
Crystal Falls,MI,1
Crystal Lake,IL,7
Crystal River,FL,39
Crystal Springs,MS,1
Cuba,NY,4
Cudahy,WI,9
Cuddebackville,NY,1
Cullen,VA,1
Cullman,AL,6
Cullowhee,NC,7
Culpeper,VA,42
Culver,IN,1
Culver,OR,4
Culver City,CA,59
Cumberland,MD,22
Cumberland,NC,2
Cumberland,RI,7
Cumberland,WI,3
Cumberland Center,ME,14
Cumberland Foreside,ME,6
Cummaquid,MA,2
Cumming,GA,93
Currituck,NC,2
Curtice,OH,1
Curwensville,PA,1
Cushing,ME,4
Cushing,MN,1
Cushing,OK,1
Cusseta,AL,1
Custer,MI,1
Custer,SD,8
Custer,WA,2
Cut Bank,MT,5
Cutler,IN,1
Cutler Bay,FL,17
Cutten,CA,2
Cuttingsville,VT,1
Cuyahoga Falls,OH,22
Cypress,CA,13
Cypress,TX,57
D'Iberville,MS,5
Dacula,GA,39
Dade City,FL,14
Dadeville,AL,4
Dagsboro,DE,8
Dahlonega,GA,10
Dakota,MN,1
Dakota City,NE,2
Dale City,VA,1
Daleville,AL,7
Daleville,VA,3
Dallas,GA,28
Dallas,NC,15
Dallas,OR,20
Dallas,TX,981
Dallas Center,IA,1
Dallastown,PA,1
Dallesport,WA,3
Dalton,GA,14
Dalton,MA,3
Daly City,CA,71
Dalzell,SC,1
Damariscotta,ME,10
Damascus,MD,5
Damascus,OR,10
Damascus,VA,2
Dammeron Valley,UT,1
Damon,TX,1
Dana Point,CA,78
Danbury,CT,19
Danbury,NC,2
Danbury,NH,4
Danby,VT,1
Dandridge,TN,10
Dane,WI,3
Dania,FL,2
Dania Beach,FL,37
Daniel Island,SC,6
Danielson,CT,2
Danielsville,GA,1
Dansville,NY,2
Danvers,MA,17
Danville,CA,35
Danville,IA,1
Danville,IL,7
Danville,IN,12
Danville,KY,6
Danville,NH,1
Danville,PA,61
Danville,VA,49
Danville,VT,3
Daphne,AL,19
Darby,PA,6
Dardanelle,AR,5
Darien,CT,1
Darien,GA,7
Darien,IL,3
Darlington,SC,3
Darlington,WI,1
Darrington,WA,1
Dartmouth,MA,17
Daufuskie Island,SC,3
Dauphin,PA,3
Dauphin Island,AL,2
Davenport,CA,1
Davenport,FL,253
Davenport,IA,52
Davenport,NY,1
Davenport Center,NY,1
Davidson,NC,15
Davidsonville,MD,5
Davie,FL,27
Davis,CA,28
Davis,WV,1
Davisburg,MI,2
Dawson,GA,1
Dawson,MN,2
Dawsonville,GA,16
Dayton,ID,1
Dayton,KY,8
Dayton,MD,1
Dayton,MN,5
Dayton,MT,2
Dayton,NV,2
Dayton,OH,240
Dayton,OR,5
Dayton,TN,3
Dayton,VA,1
Dayton,WA,3
Daytona Beach,FL,181
Daytona Beach Shores,FL,41
Dayville,CT,5
De Forest,WI,5
De Pere,WI,11
De Smet,SD,1
De Soto,IL,1
De Soto,MO,3
De Witt,IA,2
Deadwood,SD,8
Deal Island,MD,1
Deale,MD,2
Dearborn,MI,14
Dearborn Heights,MI,19
Deatsville,AL,1
Debary,FL,10
Decatur,AL,14
Decatur,GA,285
Decatur,IA,1
Decatur,IL,27
Decatur,IN,1
Decatur,TN,1
Decatur,TX,4
Decherd,TN,2
Decorah,IA,8
Dedham,MA,16
Dedham,ME,11
Deep Gap,NC,3
Deer Isle,ME,4
Deer Lodge,MT,17
Deer Park,CA,2
Deer Park,NY,4
Deer Park,TX,3
Deer Park,WA,1
Deer River,MN,2
Deerfield,IL,3
Deerfield,MA,2
Deerfield,NH,3
Deerfield,VA,2
Deerfield Beach,FL,46
Deerwood,MN,5
Defiance,MO,1
Defiance,OH,3
Defuniak Springs,FL,5
Dekalb,IL,8
Del City,OK,2
Del Mar,CA,35
Del Norte,CO,29
Del Rey Oaks,CA,3
Del Rio,TX,11
Del Valle,TX,23
Delafield,WI,2
Deland,FL,33
Delano,CA,3
Delano,TN,1
Delavan,WI,18
Delaware,OH,11
Delaware City,DE,1
Delaware Water Gap,PA,3
Delco,NC,1
Delhi,CA,4
Delhi,NY,4
Delmar,DE,3
Delmar,MD,10
Delmar,NY,4
Delphi,IN,1
Delray Beach,FL,133
Delta,CO,19
Delta,UT,1
Deltaville,VA,1
Deltona,FL,52
Demarest,NJ,1
Deming,NM,5
Deming,WA,6
Demorest,GA,2
Demotte,IN,1
Denair,CA,10
Denham Springs,LA,9
Denison,IA,1
Denison,TX,20
Denmark,ME,4
Denmark,WI,1
Dennis,MA,42
Dennis,MS,1
Dennis Port,MA,45
