City,State Abbreviation,Total Listings,Keyword,Top Keyword Monthly Searches,corporate_monthly_searches,furnished_monthly_searches,short term_monthly_searches,month_monthly_searches,sublet_monthly_searches,by owner_monthly_searches,landlord_monthly_searches,Average Monthly Searches_corporate_monthly_searches,Average Monthly Searches_furnished_monthly_searches,Average Monthly Searches_short term_monthly_searches,Average Monthly Searches_month_monthly_searches,Average Monthly Searches_sublet_monthly_searches,Average Monthly Searches_by owner_monthly_searches,Average Monthly Searches_landlord_monthly_searches
Juno Beach,FL,2,monthly rentals in juno beach florida,50,,,,,,,,0.0,10.0,10.0,50.0,0.0,0.0,
Jupiter,FL,48,short term rentals jupiter,210,,,,,,,,10.0,50.0,210.0,140.0,0.0,90.0,
Kansas City,MO,511,houses for rent by owner kcmo,12100,,,,,,,,320.0,390.0,1000.0,40.0,0.0,12100.0,720.0
Kendall,FL,4,house for rent by owner in kendall miami,40,,,,,,,,0.0,10.0,30.0,0.0,0.0,40.0,
Kennebunkport,ME,17,kennebunkport me corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Key Biscayne,FL,1,key biscayne rentals short term,90,,,,,,,,0.0,0.0,90.0,0.0,0.0,0.0,
Key Colony Beach,FL,2,key colony key biscayne short term rentals,10,,,,,,,,0.0,0.0,10.0,0.0,0.0,0.0,
Key Largo,FL,16,key largo long term rentals,210,,,,,,,,0.0,0.0,20.0,10.0,0.0,0.0,
Key West,FL,57,key west rentals long term,1000,,,,,,,,0.0,10.0,320.0,590.0,0.0,880.0,
Killington,VT,12,killington monthly rentals,10,,,,,,,,0.0,0.0,0.0,10.0,0.0,0.0,
Kingston,NY,17,short term rentals kingston ny,20,,,,,,,,0.0,10.0,20.0,0.0,0.0,10.0,
Kirkland,WA,114,houses for rent by owner in kirkland wa,1600,,,,,,,,10.0,70.0,110.0,0.0,0.0,1600.0,
Kissimmee,FL,218,corporate housing kissimmee fl,10,,,,,,,,10.0,,,,,,
La Mirada,CA,5,la mirada ca corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
La Quinta,CA,129,la quinta ca short term rentals,210,,,,,,,,0.0,10.0,210.0,40.0,0.0,30.0,
La Verne,CA,7,homes for rent by owner la verne ca,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Labelle,FL,2,monthly rentals in labelle fl,50,,,,,,,,0.0,0.0,0.0,50.0,0.0,30.0,
Lady Lake,FL,15,for rent by owner near lady lake fl,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Laguna Beach,CA,44,laguna beach short term rentals,210,,,,,,,,10.0,20.0,210.0,90.0,0.0,40.0,
Lake Alfred,FL,5,lake alfred fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Lake Butler,FL,3,lake butler fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Lake City,FL,12,furnished monthly rentals in lake city fl,20,,,,,,,,0.0,20.0,0.0,20.0,0.0,0.0,
Lake Helen,FL,3,lake helen fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Lake Mary,FL,12,homes for rent by owner lake mary fl,90,,,,,,,,10.0,10.0,10.0,10.0,0.0,90.0,
Lake Panasoffkee,FL,2,lake panasoffkee fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Lake Park,FL,2,for rent by owner lake wales fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Lake Placid,FL,12,lake placid fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Lake Suzy,FL,1,lake suzy fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Lake Wales,FL,6,lake wales homes for rent by owner,90,,,,,,,,0.0,10.0,10.0,40.0,0.0,90.0,
Lake Worth,FL,134,short term rentals lake worth fl,30,,,,,,,,0.0,10.0,30.0,10.0,0.0,0.0,
Lakeland,FL,81,for rent by owner in lakeland fl,320,,,,,,,,0.0,170.0,170.0,50.0,0.0,320.0,10.0
Lanark Village,FL,2,lanark village fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Land O Lakes,FL,11,houses for rent in land o lakes fl by owner,50,,,,,,,,0.0,0.0,0.0,0.0,0.0,50.0,
Lantana,FL,31,for rent by owner lantana fl,20,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,
Largo,FL,105,houses for rent by owner in largo fl,1900,,,,,,,,0.0,30.0,40.0,70.0,0.0,1900.0,
Las Vegas,NV,932,las vegas nv short term rentals,2900,,,,,,,,480.0,1600.0,2900.0,2400.0,0.0,2900.0,260.0
Lauderdale Lakes,FL,6,lauderdale lakes fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Lauderdale-By-The-Sea,FL,3,lauderdale by the sea monthly rentals,70,,,,,,,,0.0,0.0,50.0,70.0,0.0,50.0,
Lauderhill,FL,16,house for rent by owner in lauderhill,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Laurel Hill,FL,1,laurel hill fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
League City,TX,18,houses for rent by owner in league city tx,2900,,,,,,,,0.0,40.0,0.0,0.0,0.0,2900.0,
Lecanto,FL,1,lecanto fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Lee,FL,3,houses for rent in lehigh acres fl by owner,90,,,,,,,,0.0,0.0,0.0,0.0,0.0,90.0,
Leesburg,FL,21,houses for rent by owner in leesburg fl,2400,,,,,,,,0.0,10.0,40.0,30.0,0.0,2400.0,
Lehigh Acres,FL,32,for rent by owner in lehigh acres fl,110,,,,,,,,0.0,0.0,10.0,20.0,0.0,110.0,
Lexington,KY,477,house for rent by owner lexington ky,12100,,,,,,,,50.0,320.0,390.0,140.0,30.0,12100.0,390.0
Lighthouse Point,FL,5,for rent by owner lighthouse point fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Lincoln,NH,3,lincoln nh corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Lloyd,FL,1,lloyd fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Long Beach,CA,444,short term apartment rentals long beach ca,480,,,,,,,,50.0,170.0,480.0,70.0,90.0,260.0,10.0
Long Key,FL,1,key west rentals long term,1000,,,,,,,,0.0,10.0,0.0,0.0,0.0,140.0,
Longboat Key,FL,12,monthly rentals in longboat key florida,110,,,,,,,,0.0,0.0,70.0,110.0,0.0,10.0,
Longwood,FL,19,houses for rent by owner in longwood fl,1300,,,,,,,,0.0,0.0,0.0,0.0,0.0,1300.0,
Los Angeles,CA,1368,craigslist los angeles apartments by owner,8100,,,,,,,,1000.0,1600.0,3600.0,1000.0,1900.0,8100.0,90.0
Louisville,KY,675,houses for rent by owner in louisville ky,18100,,,,,,,,20.0,480.0,720.0,170.0,40.0,18100.0,720.0
Loxahatchee,FL,10,houses for rent by owner in loxahatchee fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Lutz,FL,20,houses for rent by owner in lutz fl,1300,,,,,,,,0.0,10.0,0.0,0.0,0.0,1300.0,
Lynn Haven,FL,6,houses for rent by owner in lynn haven fl,720,,,,,,,,0.0,10.0,10.0,0.0,0.0,720.0,
Madeira Beach,FL,20,madeira beach condos for rent by owner,110,,,,,,,,0.0,0.0,20.0,90.0,0.0,110.0,
Madison,WI,251,sublets madison wi,590,,,,,,,,140.0,480.0,480.0,210.0,590.0,0.0,480.0
Maitland,FL,6,houses for rent by owner in maitland fl,590,,,,,,,,0.0,10.0,10.0,0.0,0.0,590.0,
Malabar,FL,1,malabar fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Malibu,CA,8,short term rentals malibu california,140,,,,,,,,0.0,20.0,140.0,10.0,0.0,0.0,
Mango,FL,1,mango fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Manhattan Beach,CA,24,short term rental manhattan beach,170,,,,,,,,0.0,20.0,170.0,0.0,0.0,0.0,
Marathon,FL,14,monthly rentals in marathon florida,260,,,,,,,,0.0,0.0,10.0,260.0,0.0,140.0,
Marco Island,FL,14,marco island rental by owner,320,,,,,,,,0.0,0.0,50.0,260.0,0.0,320.0,
Margate,FL,13,houses for rent by owner in margate fl,880,,,,,,,,0.0,0.0,0.0,0.0,0.0,880.0,
Marianna,FL,7,homes for rent by owner in marianna fl,20,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,
Mary Esther,FL,20,for rent by owner mary esther fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Matlacha Isles,FL,1,matlacha isles fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Maui,HI,3,long term rentals maui hi,1300,,,,,,,,0.0,30.0,1000.0,50.0,0.0,1000.0,
Melbourne,FL,103,house for rent by owner melbourne,5400,,,,,,,,0.0,260.0,260.0,170.0,0.0,5400.0,
Melbourne Beach,FL,20,melbourne beach fl rentals by owner,70,,,,,,,,0.0,0.0,20.0,30.0,0.0,70.0,
Melrose,FL,2,for rent by owner melrose fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Merritt Island,FL,24,houses for rent by owner in merritt island fl,1000,,,,,,,,0.0,10.0,40.0,10.0,0.0,1000.0,
Mexico Beach,FL,1,long term rentals mexico beach fl,170,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Miami,FL,568,house for rent by owner miami fl,18100,,,,,,,,390.0,1900.0,2900.0,880.0,590.0,18100.0,
Miami Beach,FL,73,rent apartment miami beach short term,720,,,,,,,,20.0,110.0,720.0,210.0,50.0,70.0,
Miami Gardens,FL,21,houses for rent in miami gardens by owner,50,,,,,,,,0.0,0.0,0.0,0.0,0.0,50.0,
Miami Lakes,FL,5,miami lakes rentals by owner,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Miami Springs,FL,1,miami springs fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Miami shores,FL,1,miami shores fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Micanopy,FL,9,micanopy fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Micco,FL,3,micco fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Mid Florida,FL,1,mid florida fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Middleburg,FL,10,private rentals in middleburg fl,110,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Middletown,RI,26,middletown ri short term rentals,30,,,,,,,,0.0,0.0,30.0,0.0,0.0,20.0,
Mill Valley,CA,34,mill valley ca corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Milton,FL,18,house for rent by owner milton fl,1900,,,,,,,,0.0,20.0,30.0,20.0,0.0,1900.0,
Mims,FL,1,for rent by owner mims fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Minneapolis,MN,445,short term rentals minneapolis,880,,,,,,,,210.0,590.0,880.0,320.0,20.0,110.0,210.0
Minneola,FL,7,houses for rent in minneola fl by owner,20,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,
Miramar,FL,34,houses for rent by owner in miramar florida,2400,,,,,,,,0.0,10.0,40.0,10.0,0.0,2400.0,
Miramar Beach,FL,47,houses for rent by owner in miramar florida,2400,,,,,,,,0.0,10.0,10.0,10.0,0.0,2400.0,
Miromar Lakes,FL,1,miromar lakes fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Missoula,MT,169,houses for rent by owner in missoula mt,4400,,,,,,,,0.0,50.0,170.0,40.0,0.0,4400.0,390.0
Montverde,FL,2,montverde fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Morriston,FL,1,morriston fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Morro Bay,CA,39,long term rentals morro bay ca,140,,,,,,,,0.0,0.0,20.0,0.0,0.0,0.0,
Mount Dora,FL,23,for rent by owner mount dora fl,50,,,,,,,,0.0,0.0,10.0,20.0,0.0,50.0,
Mountain View,CA,58,mountain view short term rentals,140,,,,,,,,70.0,110.0,140.0,0.0,40.0,30.0,
Mulberry,FL,5,for rent by owner mulberry fl,20,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,
Naples,FL,373,monthly rentals in naples florida,1000,,,,,,,,0.0,140.0,590.0,1000.0,0.0,590.0,
Nashville,TN,1305,short term rentals nashville,1900,,,,,,,,480.0,1000.0,1900.0,480.0,20.0,390.0,590.0
Navarre,FL,55,rent by owner navarre beach florida,1900,,,,,,,,0.0,10.0,40.0,10.0,0.0,1900.0,
Neptune Beach,FL,11,for rent by owner neptune beach fl,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
New Orleans,LA,968,houses for rent by owner in new orleans,12100,,,,,,,,210.0,390.0,110.0,320.0,140.0,12100.0,
New Port Richey,FL,58,houses for rent in new port richey by owner,90,,,,,,,,0.0,0.0,70.0,70.0,0.0,90.0,
New Smyrna Beach,FL,59,houses for rent by owner in new smyrna beach fl,480,,,,,,,,0.0,10.0,210.0,210.0,0.0,480.0,
New York,NY,691,short term rentals nyc,9900,,,,,,,,1300.0,3600.0,9900.0,2400.0,9900.0,8100.0,110.0
Newberry,FL,2,for rent by owner newberry fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Newport Beach,CA,67,short term rentals newport beach,320,,,,,,,,40.0,70.0,320.0,90.0,0.0,10.0,
Niceville,FL,17,homes for rent in niceville fl by owner,70,,,,,,,,0.0,10.0,40.0,0.0,0.0,70.0,
Nobleton,FL,1,nobleton fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Nokomis,FL,34,nokomis fl rentals by owner,90,,,,,,,,0.0,0.0,0.0,70.0,0.0,90.0,
North Bay Village,FL,1,north bay village fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
North Fort Myers,FL,50,north fort myers homes for rent by owner,140,,,,,,,,0.0,0.0,0.0,20.0,0.0,140.0,
North Hollywood,CA,113,furnished apartments in north hollywood ca,30,,,,,,,,0.0,30.0,0.0,0.0,0.0,0.0,
North Las Vegas,NV,72,houses for rent by owner in north las vegas,2900,,,,,,,,0.0,70.0,0.0,0.0,0.0,2900.0,
North Lauderdale,FL,6,for rent by owner north lauderdale,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
North Miami,FL,17,house for rent in north miami by owner,40,,,,,,,,0.0,0.0,0.0,0.0,0.0,40.0,
North Miami Beach,FL,14,short term rentals north miami beach,20,,,,,,,,0.0,0.0,20.0,0.0,0.0,10.0,
North Palm Beach,FL,28,monthly rentals north palm beach,10,,,,,,,,0.0,10.0,0.0,10.0,0.0,0.0,
North Port,FL,42,houses for rent by owner in north port fl,2900,,,,,,,,0.0,20.0,40.0,10.0,0.0,2900.0,
North Redington Beach,FL,1,north redington beach fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Oak Hill,FL,1,oak hill fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Oakland,CA,805,short term apartment rentals oakland ca,260,,,,,,,,0.0,30.0,260.0,10.0,70.0,40.0,
Oakland,FL,2,houses for rent by owner in oakland park fl,20,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,
Oakland Park,FL,35,houses for rent by owner in oakland park fl,20,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,
Ocala,FL,126,houses for rent by owner ocala,9900,,,,,,,,10.0,110.0,320.0,110.0,0.0,9900.0,
Ocean Ridge,FL,1,ocean ridge fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Ocklawaha,FL,6,ocklawaha fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Ocoee,FL,21,houses for rent by owner in ocoee fl,1600,,,,,,,,0.0,0.0,0.0,0.0,0.0,1600.0,
Odessa,FL,6,odessa fl homes for rent by owner,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Okahumpka,FL,3,okahumpka fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Okaloosa Island,FL,2,okaloosa island long term rentals,40,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Okeechobee,FL,3,for rent by owner okeechobee fl,110,,,,,,,,0.0,20.0,10.0,90.0,0.0,110.0,
Oklahoma City,OK,463,house for rent by owner okc,12100,,,,,,,,0.0,590.0,720.0,140.0,0.0,12100.0,110.0
Old Orchard Beach,ME,175,monthly rentals old orchard beach maine,30,,,,,,,,0.0,0.0,20.0,30.0,0.0,0.0,
Old Town,FL,1,old town fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Oldsmar,FL,7,for rent by owner in oldsmar fl,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Omaha,NE,644,house for rent by owner omaha ne,18100,,,,,,,,50.0,390.0,320.0,140.0,0.0,18100.0,480.0
Oneonta,NY,31,furnished apartments for rent in oneonta ny,10,,,,,,,,0.0,10.0,0.0,0.0,0.0,10.0,
Opa Locka,FL,4,opa locka fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Orange,CA,77,houses for rent by owner in tustin ca,1600,,,,,,,,140.0,210.0,590.0,260.0,90.0,1600.0,
Orange City,FL,8,houses for rent by owner orange city fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Orange Park,FL,17,houses for rent by owner in orange park fl,2400,,,,,,,,0.0,10.0,30.0,20.0,0.0,2400.0,
Orinda,CA,12,orinda ca corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Orlando,FL,496,orlando fl short term rentals,1900,,,,,,,,480.0,880.0,1900.0,880.0,10.0,1900.0,170.0
Ormond Beach,FL,101,short term rentals ormond beach,140,,,,,,,,0.0,10.0,140.0,70.0,0.0,140.0,
Osprey,FL,2,for rent by owner osprey fl,20,,,,,,,,0.0,0.0,0.0,0.0,0.0,20.0,
Oviedo,FL,11,houses for rent by owner in oviedo fl,1600,,,,,,,,0.0,10.0,10.0,0.0,0.0,1600.0,
Oxford,FL,1,oxford fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Pace,FL,6,houses for rent by owner pace fl pet friendly,40,,,,,,,,0.0,0.0,0.0,10.0,0.0,40.0,
Palatka,FL,7,houses for rent by owner in palatka fl,1300,,,,,,,,0.0,0.0,0.0,50.0,0.0,1300.0,
Palm Bay,FL,73,houses for rent in palm bay by owner,320,,,,,,,,0.0,10.0,10.0,10.0,0.0,320.0,
Palm Beach,FL,7,short term apartment rentals west palm beach,590,,,,,,,,70.0,210.0,590.0,210.0,0.0,140.0,
Palm Beach Gardens,FL,44,palm beach gardens rentals by owner,110,,,,,,,,0.0,40.0,70.0,30.0,0.0,110.0,
Palm Beach Shores,FL,1,palm beach shores fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Palm City,FL,9,for rent by owner palm city fl,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Palm Coast,FL,66,homes for rent by owner in palm coast fl,210,,,,,,,,0.0,20.0,140.0,90.0,0.0,210.0,
Palm Harbor,FL,43,houses for rent by owner in palm harbor fl,1900,,,,,,,,0.0,10.0,10.0,10.0,0.0,1900.0,
Palm Springs,CA,391,vacation rentals by owner palm springs california,2900,,,,,,,,30.0,140.0,880.0,390.0,0.0,2900.0,
Palm Springs,FL,2,for rent by owner palm springs fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Palmetto,FL,34,house for rent by owner palmetto fl,1000,,,,,,,,0.0,0.0,0.0,30.0,0.0,1000.0,
Panama City,FL,78,panama city long term rentals,880,,,,,,,,10.0,30.0,170.0,70.0,0.0,320.0,
Panama City Beach,FL,270,long term rentals panama city beach,880,,,,,,,,10.0,90.0,260.0,320.0,0.0,590.0,
Park City,UT,45,long term rentals park city,390,,,,,,,,0.0,10.0,170.0,140.0,0.0,70.0,
Parkland,FL,7,for rent by owner parkland fl,10,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Parrish,FL,16,houses for rent by owner in parrish fl,1000,,,,,,,,0.0,0.0,0.0,0.0,0.0,1000.0,
Pasadena,CA,81,pasadena ca short term rentals,320,,,,,,,,50.0,140.0,320.0,10.0,30.0,170.0,
Pembroke Pines,FL,33,pembroke pines apartments for rent by owner,110,,,,,,,,0.0,10.0,90.0,10.0,0.0,110.0,
Penn Yan,NY,15,penn yan ny corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Pensacola,FL,325,houses for rent by owner pensacola,9900,,,,,,,,50.0,260.0,390.0,140.0,0.0,9900.0,40.0
Pensacola Beach,FL,17,pensacola beach rentals by owner,320,,,,,,,,0.0,10.0,30.0,70.0,0.0,320.0,
Philadelphia,PA,644,philly short term rentals,1000,,,,,,,,260.0,720.0,1000.0,480.0,590.0,720.0,880.0
Phoenix,AZ,1468,phoenix az short term rentals,2400,,,,,,,,480.0,1900.0,2400.0,1600.0,10.0,1300.0,170.0
Pinellas Park,FL,21,pinellas park fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Placida,FL,1,placida fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Plant City,FL,11,for rent by owner plant city,70,,,,,,,,0.0,0.0,20.0,10.0,0.0,70.0,
Plantation,FL,33,houses for rent by owner in plantation fl,1600,,,,,,,,10.0,20.0,0.0,10.0,0.0,1600.0,
Poinciana,FL,8,poinciana houses for rent by owner,140,,,,,,,,0.0,0.0,0.0,0.0,0.0,140.0,
Polk City,FL,3,polk city fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Pompano Beach,FL,107,houses for rent by owner in pompano beach fl,2400,,,,,,,,0.0,50.0,320.0,110.0,0.0,2400.0,
Ponce Inlet,FL,1,ponce inlet monthly rentals,20,,,,,,,,0.0,0.0,0.0,20.0,0.0,0.0,
Ponte Vedra,FL,2,ponte vedra beach rentals long term,110,,,,,,,,0.0,20.0,40.0,20.0,0.0,40.0,
Ponte Vedra Beach,FL,19,ponte vedra beach rentals long term,110,,,,,,,,0.0,20.0,40.0,20.0,0.0,40.0,
Port Angeles,WA,103,houses for rent by owner in port angeles wa,1300,,,,,,,,0.0,0.0,70.0,10.0,0.0,1300.0,
Port Charlotte,FL,120,houses for rent by owner in port charlotte fl,2400,,,,,,,,0.0,20.0,110.0,50.0,0.0,2400.0,
Port Orange,FL,31,port orange house for rent by owner,210,,,,,,,,0.0,10.0,50.0,10.0,0.0,210.0,
Port Richey,FL,21,for rent by owner new port richey fl,50,,,,,,,,0.0,10.0,10.0,0.0,0.0,50.0,
Port Saint Joe,FL,15,port saint joe fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Port Saint Lucie,FL,129,short term rentals port st lucie,260,,,,,,,,0.0,50.0,260.0,50.0,0.0,260.0,
Port Salerno,FL,1,port salerno fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Port St. Lucie,FL,31,short term rentals port st lucie,260,,,,,,,,0.0,50.0,260.0,50.0,0.0,260.0,
Portland,ME,343,portland me short term rentals,880,,,,,,,,10.0,210.0,880.0,880.0,110.0,10.0,
Portland,OR,1969,portland short term rentals,1900,,,,,,,,260.0,720.0,1900.0,1900.0,260.0,720.0,70.0
Punta Gorda,FL,96,monthly rentals in punta gorda florida,210,,,,,,,,0.0,20.0,70.0,210.0,0.0,170.0,
Quincy,FL,1,homes for rent by owner in quincy fl,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,30.0,
Raleigh,NC,500,houses for rent by owner raleigh,18100,,,,,,,,320.0,590.0,720.0,170.0,170.0,18100.0,880.0
Rancho Cucamonga,CA,47,houses for rent by owner in rancho cucamonga ca,4400,,,,,,,,10.0,30.0,50.0,0.0,0.0,4400.0,
Reddick,FL,1,reddick fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Redding,CA,255,houses for rent by owner in redding ca,4400,,,,,,,,0.0,70.0,10.0,40.0,0.0,4400.0,
Redington Beach,FL,2,monthly rentals redington beach fl,10,,,,,,,,0.0,0.0,0.0,10.0,0.0,0.0,
Redington Shores,FL,10,redington shores fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Redwood City,CA,121,furnished apartments in redwood city ca,70,,,,,,,,30.0,70.0,70.0,0.0,0.0,0.0,
Reunion,FL,7,reunion fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Rhinebeck,NY,3,rhinebeck ny corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Richardson,TX,36,richardson tx corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Richmond,VA,538,houses for rent by owner in richmond va,12100,,,,,,,,170.0,480.0,1000.0,170.0,140.0,12100.0,590.0
River Ranch,FL,1,river ranch fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Riverview,FL,58,homes for rent by owner riverview fl,210,,,,,,,,0.0,10.0,10.0,20.0,0.0,210.0,
Riviera Beach,FL,13,private owners for rent near riviera beach fl,30,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,
Rockledge,FL,10,rockledge fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Rosemary Beach,FL,1,long term rentals rosemary beach fl,40,,,,,,,,0.0,0.0,0.0,10.0,0.0,0.0,
Rotonda West,FL,18,monthly rentals in rotonda west florida,210,,,,,,,,0.0,0.0,0.0,210.0,0.0,0.0,
Royal Palm Beach,FL,16,for rent by owner royal palm beach fl,50,,,,,,,,0.0,0.0,0.0,0.0,0.0,50.0,
Ruskin,FL,19,for rent by owner ruskin fl,40,,,,,,,,0.0,10.0,30.0,20.0,0.0,40.0,
Sacramento,CA,767,craigslist sacramento house for rent by owner,5400,,,,,,,,170.0,390.0,590.0,210.0,70.0,5400.0,90.0
Safety Harbor,FL,22,monthly rentals in safety harbor fl,30,,,,,,,,0.0,0.0,0.0,30.0,0.0,10.0,
Saint Augustine,FL,223,st augustine short term rentals,480,,,,,,,,0.0,50.0,480.0,390.0,0.0,50.0,
Saint Cloud,FL,37,houses for rent by owner in saint cloud fl,1900,,,,,,,,0.0,0.0,40.0,0.0,0.0,1900.0,
Saint Johns,FL,12,st johns county short term rentals,20,,,,,,,,0.0,0.0,20.0,0.0,0.0,0.0,
Saint Paul,MN,228,houses for rent by owner in st paul mn,3600,,,,,,,,0.0,210.0,40.0,30.0,0.0,3600.0,
Saint Pete Beach,FL,46,short term rentals st petersburg fl,590,,,,,,,,0.0,90.0,590.0,480.0,0.0,110.0,50.0
Saint Petersburg,FL,670,short term apartment rentals st petersburg fl,590,,,,,,,,50.0,320.0,590.0,480.0,20.0,110.0,50.0
Salem,OR,337,short term rentals salem ma,70,,,,,,,,10.0,0.0,70.0,0.0,0.0,0.0,
San Antonio,FL,5,san antonio fl corporate housing,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,
San Antonio,TX,922,houses for rent in san antonio by owner,2400,,,,,,,,390.0,1300.0,1000.0,1900.0,110.0,2400.0,70.0
San Diego,CA,2396,short term rentals san diego,2900,,,,,,,,480.0,1000.0,2900.0,880.0,590.0,720.0,40.0
